academic_year,group,admitted_count,capacity_usage_rate,source_id
115,教育,1113,100.0,uac-115-result-presentation
115,跨領域,77,100.0,uac-115-result-presentation
115,數理化,2174,100.0,uac-115-result-presentation
115,財經,3409,99.71,uac-115-result-presentation
115,生命科學,1478,99.66,uac-115-result-presentation
115,工程,6864,99.55,uac-115-result-presentation
115,資訊,5333,99.14,uac-115-result-presentation
115,地球環境,857,98.62,uac-115-result-presentation
115,法政,1997,98.57,uac-115-result-presentation
115,文史哲,1962,98.15,uac-115-result-presentation
115,醫藥衛生,3383,97.89,uac-115-result-presentation
115,管理,4669,97.7,uac-115-result-presentation
115,生物資源,824,97.63,uac-115-result-presentation
115,外語,2008,97.33,uac-115-result-presentation
115,社會心理,1591,96.6,uac-115-result-presentation
115,建築設計,1323,94.1,uac-115-result-presentation
115,大眾傳播,1119,93.72,uac-115-result-presentation
115,藝術,962,92.77,uac-115-result-presentation
115,遊憩運動,734,92.44,uac-115-result-presentation
