academic_year,university,ownership,region,program_count,admitted_count,source_id,institution_source_id
111,世新大學,私立,臺北市,26,434,uac-111-program-results,moe-114-institution-directory
111,中原大學,私立,桃園市,37,610,uac-111-program-results,moe-114-institution-directory
111,中國文化大學,私立,臺北市,68,257,uac-111-program-results,moe-114-institution-directory
111,中國醫藥大學,私立,臺中市,16,343,uac-111-program-results,moe-114-institution-directory
111,中山醫學大學,私立,臺中市,21,637,uac-111-program-results,moe-114-institution-directory
111,中華大學,私立,新竹市,31,45,uac-111-program-results,moe-114-institution-directory
111,亞洲大學,私立,臺中市,51,158,uac-111-program-results,moe-114-institution-directory
111,佛光大學,私立,宜蘭縣,23,13,uac-111-program-results,moe-114-institution-directory
111,元智大學,私立,桃園市,26,317,uac-111-program-results,moe-114-institution-directory
111,南華大學,私立,嘉義縣,24,44,uac-111-program-results,moe-114-institution-directory
111,國立中央大學,公立,桃園市,32,633,uac-111-program-results,moe-114-institution-directory
111,國立中山大學,公立,高雄市,32,455,uac-111-program-results,moe-114-institution-directory
111,國立中正大學,公立,嘉義縣,33,704,uac-111-program-results,moe-114-institution-directory
111,國立中興大學,公立,臺中市,42,880,uac-111-program-results,moe-114-institution-directory
111,國立嘉義大學,公立,嘉義市,43,755,uac-111-program-results,moe-114-institution-directory
111,國立宜蘭大學,公立,宜蘭縣,15,259,uac-111-program-results,moe-114-institution-directory
111,國立屏東大學,公立,屏東縣,33,275,uac-111-program-results,moe-114-institution-directory
111,國立彰化師範大學,公立,彰化縣,23,516,uac-111-program-results,moe-114-institution-directory
111,國立成功大學,公立,臺南市,51,1415,uac-111-program-results,moe-114-institution-directory
111,國立政治大學,公立,臺北市,52,1019,uac-111-program-results,moe-114-institution-directory
111,國立暨南國際大學,公立,南投縣,26,307,uac-111-program-results,moe-114-institution-directory
111,國立東華大學,公立,花蓮縣,44,522,uac-111-program-results,moe-114-institution-directory
111,國立清華大學,公立,新竹市,47,669,uac-111-program-results,moe-114-institution-directory
111,國立聯合大學,公立,苗栗縣,22,288,uac-111-program-results,moe-114-institution-directory
111,國立臺中教育大學,公立,臺中市,18,290,uac-111-program-results,moe-114-institution-directory
111,國立臺北大學,公立,新北市,20,527,uac-111-program-results,moe-114-institution-directory
111,國立臺北教育大學,公立,臺北市,22,310,uac-111-program-results,moe-114-institution-directory
111,國立臺南大學,公立,臺南市,23,389,uac-111-program-results,moe-114-institution-directory
111,國立臺南藝術大學,公立,臺南市,3,45,uac-111-program-results,moe-114-institution-directory
111,國立臺東大學,公立,臺東縣,21,99,uac-111-program-results,moe-114-institution-directory
111,國立臺灣大學,公立,臺北市,70,1598,uac-111-program-results,moe-114-institution-directory
111,國立臺灣師範大學,公立,臺北市,39,590,uac-111-program-results,moe-114-institution-directory
111,國立臺灣海洋大學,公立,基隆市,23,422,uac-111-program-results,moe-114-institution-directory
111,國立臺灣藝術大學,公立,新北市,15,200,uac-111-program-results,moe-114-institution-directory
111,國立臺灣體育運動大學,公立,臺中市,5,76,uac-111-program-results,moe-114-institution-directory
111,國立金門大學,公立,金門縣,17,114,uac-111-program-results,moe-114-institution-directory
111,國立陽明交通大學,公立,新竹市,39,672,uac-111-program-results,moe-114-institution-directory
111,國立體育大學,公立,桃園市,7,77,uac-111-program-results,moe-114-institution-directory
111,國立高雄大學,公立,高雄市,23,485,uac-111-program-results,moe-114-institution-directory
111,國立高雄師範大學,公立,高雄市,21,411,uac-111-program-results,moe-114-institution-directory
111,大同大學,私立,臺北市,23,76,uac-111-program-results,moe-114-institution-directory
111,大葉大學,私立,彰化縣,36,28,uac-111-program-results,moe-114-institution-directory
111,實踐大學,私立,臺北市,67,206,uac-111-program-results,moe-114-institution-directory
111,康寧大學,私立,臺北市,2,4,uac-111-program-results,moe-114-institution-directory
111,慈濟大學,私立,花蓮縣,17,62,uac-111-program-results,moe-114-institution-directory
111,明道大學,私立,彰化縣,9,10,uac-111-program-results,moe-114-institution-directory
111,東吳大學,私立,臺北市,24,832,uac-111-program-results,moe-114-institution-directory
111,東海大學,私立,臺中市,55,620,uac-111-program-results,moe-114-institution-directory
111,淡江大學,私立,新北市,54,929,uac-111-program-results,moe-114-institution-directory
111,玄奘大學,私立,新竹市,8,4,uac-111-program-results,moe-114-institution-directory
111,真理大學,私立,新北市,28,24,uac-111-program-results,moe-114-institution-directory
111,義守大學,私立,高雄市,53,186,uac-111-program-results,moe-114-institution-directory
111,臺北市立大學,公立,臺北市,22,304,uac-111-program-results,moe-114-institution-directory
111,臺北醫學大學,私立,臺北市,16,323,uac-111-program-results,moe-114-institution-directory
111,輔仁大學,私立,新北市,58,1255,uac-111-program-results,moe-114-institution-directory
111,逢甲大學,私立,臺中市,49,577,uac-111-program-results,moe-114-institution-directory
111,銘傳大學,私立,臺北市,61,425,uac-111-program-results,moe-114-institution-directory
111,長庚大學,私立,桃園市,24,509,uac-111-program-results,moe-114-institution-directory
111,長榮大學,私立,臺南市,49,76,uac-111-program-results,moe-114-institution-directory
111,靜宜大學,私立,臺中市,35,127,uac-111-program-results,moe-114-institution-directory
111,馬偕醫學院,私立,新北市,4,68,uac-111-program-results,moe-114-institution-directory
111,高雄醫學大學,私立,高雄市,22,523,uac-111-program-results,moe-114-institution-directory
112,世新大學,私立,臺北市,26,942,uac-112-program-results,moe-114-institution-directory
112,中原大學,私立,桃園市,39,905,uac-112-program-results,moe-114-institution-directory
112,中國文化大學,私立,臺北市,69,937,uac-112-program-results,moe-114-institution-directory
112,中國醫藥大學,私立,臺中市,16,420,uac-112-program-results,moe-114-institution-directory
112,中山醫學大學,私立,臺中市,22,850,uac-112-program-results,moe-114-institution-directory
112,中華大學,私立,新竹市,25,192,uac-112-program-results,moe-114-institution-directory
112,亞洲大學,私立,臺中市,42,552,uac-112-program-results,moe-114-institution-directory
112,佛光大學,私立,宜蘭縣,22,24,uac-112-program-results,moe-114-institution-directory
112,元智大學,私立,桃園市,26,672,uac-112-program-results,moe-114-institution-directory
112,南華大學,私立,嘉義縣,20,103,uac-112-program-results,moe-114-institution-directory
112,國立中央大學,公立,桃園市,32,691,uac-112-program-results,moe-114-institution-directory
112,國立中山大學,公立,高雄市,35,556,uac-112-program-results,moe-114-institution-directory
112,國立中正大學,公立,嘉義縣,33,803,uac-112-program-results,moe-114-institution-directory
112,國立中興大學,公立,臺中市,42,976,uac-112-program-results,moe-114-institution-directory
112,國立嘉義大學,公立,嘉義市,43,1131,uac-112-program-results,moe-114-institution-directory
112,國立宜蘭大學,公立,宜蘭縣,15,419,uac-112-program-results,moe-114-institution-directory
112,國立屏東大學,公立,屏東縣,33,412,uac-112-program-results,moe-114-institution-directory
112,國立彰化師範大學,公立,彰化縣,24,581,uac-112-program-results,moe-114-institution-directory
112,國立成功大學,公立,臺南市,51,1437,uac-112-program-results,moe-114-institution-directory
112,國立政治大學,公立,臺北市,52,1077,uac-112-program-results,moe-114-institution-directory
112,國立暨南國際大學,公立,南投縣,28,458,uac-112-program-results,moe-114-institution-directory
112,國立東華大學,公立,花蓮縣,48,804,uac-112-program-results,moe-114-institution-directory
112,國立清華大學,公立,新竹市,48,664,uac-112-program-results,moe-114-institution-directory
112,國立聯合大學,公立,苗栗縣,22,515,uac-112-program-results,moe-114-institution-directory
112,國立臺中教育大學,公立,臺中市,17,378,uac-112-program-results,moe-114-institution-directory
112,國立臺北大學,公立,新北市,20,623,uac-112-program-results,moe-114-institution-directory
112,國立臺北教育大學,公立,臺北市,21,354,uac-112-program-results,moe-114-institution-directory
112,國立臺南大學,公立,臺南市,23,509,uac-112-program-results,moe-114-institution-directory
112,國立臺南藝術大學,公立,臺南市,3,45,uac-112-program-results,moe-114-institution-directory
112,國立臺東大學,公立,臺東縣,21,285,uac-112-program-results,moe-114-institution-directory
112,國立臺灣大學,公立,臺北市,70,1598,uac-112-program-results,moe-114-institution-directory
112,國立臺灣師範大學,公立,臺北市,39,635,uac-112-program-results,moe-114-institution-directory
112,國立臺灣海洋大學,公立,基隆市,23,539,uac-112-program-results,moe-114-institution-directory
112,國立臺灣藝術大學,公立,新北市,15,218,uac-112-program-results,moe-114-institution-directory
112,國立臺灣體育運動大學,公立,臺中市,5,93,uac-112-program-results,moe-114-institution-directory
112,國立金門大學,公立,金門縣,19,275,uac-112-program-results,moe-114-institution-directory
112,國立陽明交通大學,公立,新竹市,40,629,uac-112-program-results,moe-114-institution-directory
112,國立體育大學,公立,桃園市,7,99,uac-112-program-results,moe-114-institution-directory
112,國立高雄大學,公立,高雄市,23,590,uac-112-program-results,moe-114-institution-directory
112,國立高雄師範大學,公立,高雄市,21,451,uac-112-program-results,moe-114-institution-directory
112,大同大學,私立,臺北市,23,270,uac-112-program-results,moe-114-institution-directory
112,大葉大學,私立,彰化縣,38,107,uac-112-program-results,moe-114-institution-directory
112,實踐大學,私立,臺北市,46,396,uac-112-program-results,moe-114-institution-directory
112,康寧大學,私立,臺北市,2,16,uac-112-program-results,moe-114-institution-directory
112,慈濟大學,私立,花蓮縣,17,144,uac-112-program-results,moe-114-institution-directory
112,東吳大學,私立,臺北市,24,1290,uac-112-program-results,moe-114-institution-directory
112,東海大學,私立,臺中市,49,1239,uac-112-program-results,moe-114-institution-directory
112,淡江大學,私立,新北市,52,2034,uac-112-program-results,moe-114-institution-directory
112,玄奘大學,私立,新竹市,8,7,uac-112-program-results,moe-114-institution-directory
112,真理大學,私立,新北市,29,26,uac-112-program-results,moe-114-institution-directory
112,義守大學,私立,高雄市,54,713,uac-112-program-results,moe-114-institution-directory
112,臺北市立大學,公立,臺北市,22,357,uac-112-program-results,moe-114-institution-directory
112,臺北醫學大學,私立,臺北市,16,331,uac-112-program-results,moe-114-institution-directory
112,輔仁大學,私立,新北市,56,1700,uac-112-program-results,moe-114-institution-directory
112,逢甲大學,私立,臺中市,40,1102,uac-112-program-results,moe-114-institution-directory
112,銘傳大學,私立,臺北市,58,1087,uac-112-program-results,moe-114-institution-directory
112,長庚大學,私立,桃園市,24,526,uac-112-program-results,moe-114-institution-directory
112,長榮大學,私立,臺南市,38,215,uac-112-program-results,moe-114-institution-directory
112,靜宜大學,私立,臺中市,35,575,uac-112-program-results,moe-114-institution-directory
