academic_year,exam,subject_id,grade,raw_score_lower,raw_score_upper,lower_inclusive,upper_inclusive,source_interval_text,source_id
111,GSAT,chinese,0,0.0,0.0,True,True,X =  0.00,gsat-111-score-boundary
111,GSAT,chinese,1,0.0,5.34,False,True,0.00＜X≦  5.34,gsat-111-score-boundary
111,GSAT,chinese,10,48.06,53.4,False,True,48.06＜X≦ 53.40,gsat-111-score-boundary
111,GSAT,chinese,11,53.4,58.74,False,True,53.40＜X≦ 58.74,gsat-111-score-boundary
111,GSAT,chinese,12,58.74,64.08,False,True,58.74＜X≦ 64.08,gsat-111-score-boundary
111,GSAT,chinese,13,64.08,69.42,False,True,64.08＜X≦ 69.42,gsat-111-score-boundary
111,GSAT,chinese,14,69.42,74.76,False,True,69.42＜X≦ 74.76,gsat-111-score-boundary
111,GSAT,chinese,15,74.76,100.0,False,True,74.76＜X≦100.00,gsat-111-score-boundary
111,GSAT,chinese,2,5.34,10.68,False,True,5.34＜X≦ 10.68,gsat-111-score-boundary
111,GSAT,chinese,3,10.68,16.02,False,True,10.68＜X≦ 16.02,gsat-111-score-boundary
111,GSAT,chinese,4,16.02,21.36,False,True,16.02＜X≦ 21.36,gsat-111-score-boundary
111,GSAT,chinese,5,21.36,26.7,False,True,21.36＜X≦ 26.70,gsat-111-score-boundary
111,GSAT,chinese,6,26.7,32.04,False,True,26.70＜X≦ 32.04,gsat-111-score-boundary
111,GSAT,chinese,7,32.04,37.38,False,True,32.04＜X≦ 37.38,gsat-111-score-boundary
111,GSAT,chinese,8,37.38,42.72,False,True,37.38＜X≦ 42.72,gsat-111-score-boundary
111,GSAT,chinese,9,42.72,48.06,False,True,42.72＜X≦ 48.06,gsat-111-score-boundary
111,GSAT,english,0,0.0,0.0,True,True,X =  0.00,gsat-111-score-boundary
111,GSAT,english,1,0.0,6.21,False,True,0.00＜X≦  6.21,gsat-111-score-boundary
111,GSAT,english,10,55.88,62.09,False,True,55.88＜X≦ 62.09,gsat-111-score-boundary
111,GSAT,english,11,62.09,68.3,False,True,62.09＜X≦ 68.30,gsat-111-score-boundary
111,GSAT,english,12,68.3,74.5,False,True,68.30＜X≦ 74.50,gsat-111-score-boundary
111,GSAT,english,13,74.5,80.71,False,True,74.50＜X≦ 80.71,gsat-111-score-boundary
111,GSAT,english,14,80.71,86.92,False,True,80.71＜X≦ 86.92,gsat-111-score-boundary
111,GSAT,english,15,86.92,100.0,False,True,86.92＜X≦100.00,gsat-111-score-boundary
111,GSAT,english,2,6.21,12.42,False,True,6.21＜X≦ 12.42,gsat-111-score-boundary
111,GSAT,english,3,12.42,18.63,False,True,12.42＜X≦ 18.63,gsat-111-score-boundary
111,GSAT,english,4,18.63,24.83,False,True,18.63＜X≦ 24.83,gsat-111-score-boundary
111,GSAT,english,5,24.83,31.04,False,True,24.83＜X≦ 31.04,gsat-111-score-boundary
111,GSAT,english,6,31.04,37.25,False,True,31.04＜X≦ 37.25,gsat-111-score-boundary
111,GSAT,english,7,37.25,43.46,False,True,37.25＜X≦ 43.46,gsat-111-score-boundary
111,GSAT,english,8,43.46,49.67,False,True,43.46＜X≦ 49.67,gsat-111-score-boundary
111,GSAT,english,9,49.67,55.88,False,True,49.67＜X≦ 55.88,gsat-111-score-boundary
111,GSAT,mathematics_a,0,0.0,0.0,True,True,X =  0.00,gsat-111-score-boundary
111,GSAT,mathematics_a,1,0.0,5.56,False,True,0.00＜X≦  5.56,gsat-111-score-boundary
111,GSAT,mathematics_a,10,50.05,55.61,False,True,50.05＜X≦ 55.61,gsat-111-score-boundary
111,GSAT,mathematics_a,11,55.61,61.17,False,True,55.61＜X≦ 61.17,gsat-111-score-boundary
111,GSAT,mathematics_a,12,61.17,66.74,False,True,61.17＜X≦ 66.74,gsat-111-score-boundary
111,GSAT,mathematics_a,13,66.74,72.3,False,True,66.74＜X≦ 72.30,gsat-111-score-boundary
111,GSAT,mathematics_a,14,72.3,77.86,False,True,72.30＜X≦ 77.86,gsat-111-score-boundary
111,GSAT,mathematics_a,15,77.86,100.0,False,True,77.86＜X≦100.00,gsat-111-score-boundary
111,GSAT,mathematics_a,2,5.56,11.12,False,True,5.56＜X≦ 11.12,gsat-111-score-boundary
111,GSAT,mathematics_a,3,11.12,16.68,False,True,11.12＜X≦ 16.68,gsat-111-score-boundary
111,GSAT,mathematics_a,4,16.68,22.25,False,True,16.68＜X≦ 22.25,gsat-111-score-boundary
111,GSAT,mathematics_a,5,22.25,27.81,False,True,22.25＜X≦ 27.81,gsat-111-score-boundary
111,GSAT,mathematics_a,6,27.81,33.37,False,True,27.81＜X≦ 33.37,gsat-111-score-boundary
111,GSAT,mathematics_a,7,33.37,38.93,False,True,33.37＜X≦ 38.93,gsat-111-score-boundary
111,GSAT,mathematics_a,8,38.93,44.49,False,True,38.93＜X≦ 44.49,gsat-111-score-boundary
111,GSAT,mathematics_a,9,44.49,50.05,False,True,44.49＜X≦ 50.05,gsat-111-score-boundary
111,GSAT,mathematics_b,0,0.0,0.0,True,True,X =  0.00,gsat-111-score-boundary
111,GSAT,mathematics_b,1,0.0,6.6,False,True,0.00＜X≦  6.60,gsat-111-score-boundary
111,GSAT,mathematics_b,10,59.39,65.99,False,True,59.39＜X≦ 65.99,gsat-111-score-boundary
111,GSAT,mathematics_b,11,65.99,72.59,False,True,65.99＜X≦ 72.59,gsat-111-score-boundary
111,GSAT,mathematics_b,12,72.59,79.18,False,True,72.59＜X≦ 79.18,gsat-111-score-boundary
111,GSAT,mathematics_b,13,79.18,85.78,False,True,79.18＜X≦ 85.78,gsat-111-score-boundary
111,GSAT,mathematics_b,14,85.78,92.38,False,True,85.78＜X≦ 92.38,gsat-111-score-boundary
111,GSAT,mathematics_b,15,92.38,100.0,False,True,92.38＜X≦100.00,gsat-111-score-boundary
111,GSAT,mathematics_b,2,6.6,13.2,False,True,6.60＜X≦ 13.20,gsat-111-score-boundary
111,GSAT,mathematics_b,3,13.2,19.8,False,True,13.20＜X≦ 19.80,gsat-111-score-boundary
111,GSAT,mathematics_b,4,19.8,26.39,False,True,19.80＜X≦ 26.39,gsat-111-score-boundary
111,GSAT,mathematics_b,5,26.39,32.99,False,True,26.39＜X≦ 32.99,gsat-111-score-boundary
111,GSAT,mathematics_b,6,32.99,39.59,False,True,32.99＜X≦ 39.59,gsat-111-score-boundary
111,GSAT,mathematics_b,7,39.59,46.19,False,True,39.59＜X≦ 46.19,gsat-111-score-boundary
