academic_year,exam,subject_id,grade,count,percentage,cumulative_low_count,cumulative_low_percentage,cumulative_high_count,cumulative_high_percentage,source_id
111,GSAT,chinese,0,8,0.01,8,0.01,113826,100.0,gsat-111-score-distribution
111,GSAT,chinese,1,26,0.02,34,0.03,113818,99.99,gsat-111-score-distribution
111,GSAT,chinese,10,18637,16.37,57705,50.7,74758,65.68,gsat-111-score-distribution
111,GSAT,chinese,11,18836,16.55,76541,67.24,56121,49.3,gsat-111-score-distribution
111,GSAT,chinese,12,16307,14.33,92848,81.57,37285,32.76,gsat-111-score-distribution
111,GSAT,chinese,13,11976,10.52,104824,92.09,20978,18.43,gsat-111-score-distribution
111,GSAT,chinese,14,6195,5.44,111019,97.53,9002,7.91,gsat-111-score-distribution
111,GSAT,chinese,15,2807,2.47,113826,100.0,2807,2.47,gsat-111-score-distribution
111,GSAT,chinese,2,504,0.44,538,0.47,113792,99.97,gsat-111-score-distribution
111,GSAT,chinese,3,935,0.82,1473,1.29,113288,99.53,gsat-111-score-distribution
111,GSAT,chinese,4,1367,1.2,2840,2.5,112353,98.71,gsat-111-score-distribution
111,GSAT,chinese,5,2221,1.95,5061,4.45,110986,97.5,gsat-111-score-distribution
111,GSAT,chinese,6,3524,3.1,8585,7.54,108765,95.55,gsat-111-score-distribution
111,GSAT,chinese,7,5971,5.25,14556,12.79,105241,92.46,gsat-111-score-distribution
111,GSAT,chinese,8,10128,8.9,24684,21.69,99270,87.21,gsat-111-score-distribution
111,GSAT,chinese,9,14384,12.64,39068,34.32,89142,78.31,gsat-111-score-distribution
111,GSAT,english,0,10,0.01,10,0.01,113756,100.0,gsat-111-score-distribution
111,GSAT,english,1,157,0.14,167,0.15,113746,99.99,gsat-111-score-distribution
111,GSAT,english,10,9018,7.93,75315,66.21,47459,41.72,gsat-111-score-distribution
111,GSAT,english,11,9258,8.14,84573,74.35,38441,33.79,gsat-111-score-distribution
111,GSAT,english,12,9616,8.45,94189,82.8,29183,25.65,gsat-111-score-distribution
111,GSAT,english,13,8941,7.86,103130,90.66,19567,17.2,gsat-111-score-distribution
111,GSAT,english,14,6918,6.08,110048,96.74,10626,9.34,gsat-111-score-distribution
111,GSAT,english,15,3708,3.26,113756,100.0,3708,3.26,gsat-111-score-distribution
111,GSAT,english,2,2945,2.59,3112,2.74,113589,99.85,gsat-111-score-distribution
111,GSAT,english,3,9110,8.01,12222,10.74,110644,97.26,gsat-111-score-distribution
111,GSAT,english,4,9938,8.74,22160,19.48,101534,89.26,gsat-111-score-distribution
111,GSAT,english,5,9400,8.26,31560,27.74,91596,80.52,gsat-111-score-distribution
111,GSAT,english,6,8977,7.89,40537,35.64,82196,72.26,gsat-111-score-distribution
111,GSAT,english,7,8492,7.47,49029,43.1,73219,64.36,gsat-111-score-distribution
111,GSAT,english,8,8655,7.61,57684,50.71,64727,56.9,gsat-111-score-distribution
111,GSAT,english,9,8613,7.57,66297,58.28,56072,49.29,gsat-111-score-distribution
111,GSAT,mathematics_a,0,26,0.03,26,0.03,79834,100.0,gsat-111-score-distribution
111,GSAT,mathematics_a,1,1051,1.32,1077,1.35,79808,99.97,gsat-111-score-distribution
111,GSAT,mathematics_a,10,3733,4.68,71769,89.9,11798,14.78,gsat-111-score-distribution
111,GSAT,mathematics_a,11,3083,3.86,74852,93.76,8065,10.1,gsat-111-score-distribution
111,GSAT,mathematics_a,12,1893,2.37,76745,96.13,4982,6.24,gsat-111-score-distribution
111,GSAT,mathematics_a,13,1518,1.9,78263,98.03,3089,3.87,gsat-111-score-distribution
111,GSAT,mathematics_a,14,782,0.98,79045,99.01,1571,1.97,gsat-111-score-distribution
111,GSAT,mathematics_a,15,789,0.99,79834,100.0,789,0.99,gsat-111-score-distribution
111,GSAT,mathematics_a,2,5355,6.71,6432,8.06,78757,98.65,gsat-111-score-distribution
111,GSAT,mathematics_a,3,8063,10.1,14495,18.16,73402,91.94,gsat-111-score-distribution
111,GSAT,mathematics_a,4,12019,15.05,26514,33.21,65339,81.84,gsat-111-score-distribution
111,GSAT,mathematics_a,5,10074,12.62,36588,45.83,53320,66.79,gsat-111-score-distribution
111,GSAT,mathematics_a,6,10709,13.41,47297,59.24,43246,54.17,gsat-111-score-distribution
111,GSAT,mathematics_a,7,7580,9.49,54877,68.74,32537,40.76,gsat-111-score-distribution
111,GSAT,mathematics_a,8,7481,9.37,62358,78.11,24957,31.26,gsat-111-score-distribution
111,GSAT,mathematics_a,9,5678,7.11,68036,85.22,17476,21.89,gsat-111-score-distribution
111,GSAT,mathematics_b,0,29,0.03,29,0.03,90556,100.0,gsat-111-score-distribution
111,GSAT,mathematics_b,1,1439,1.59,1468,1.62,90527,99.97,gsat-111-score-distribution
111,GSAT,mathematics_b,10,5874,6.49,62662,69.2,33768,37.29,gsat-111-score-distribution
111,GSAT,mathematics_b,11,7355,8.12,70017,77.32,27894,30.8,gsat-111-score-distribution
111,GSAT,mathematics_b,12,7322,8.09,77339,85.4,20539,22.68,gsat-111-score-distribution
111,GSAT,mathematics_b,13,5490,6.06,82829,91.47,13217,14.6,gsat-111-score-distribution
111,GSAT,mathematics_b,14,4719,5.21,87548,96.68,7727,8.53,gsat-111-score-distribution
111,GSAT,mathematics_b,15,3008,3.32,90556,100.0,3008,3.32,gsat-111-score-distribution
111,GSAT,mathematics_b,2,5824,6.43,7292,8.05,89088,98.38,gsat-111-score-distribution
111,GSAT,mathematics_b,3,7886,8.71,15178,16.76,83264,91.95,gsat-111-score-distribution
111,GSAT,mathematics_b,4,9204,10.16,24382,26.92,75378,83.24,gsat-111-score-distribution
111,GSAT,mathematics_b,5,7160,7.91,31542,34.83,66174,73.08,gsat-111-score-distribution
111,GSAT,mathematics_b,6,7032,7.77,38574,42.6,59014,65.17,gsat-111-score-distribution
111,GSAT,mathematics_b,7,6377,7.04,44951,49.64,51982,57.4,gsat-111-score-distribution
111,GSAT,mathematics_b,8,5344,5.9,50295,55.54,45605,50.36,gsat-111-score-distribution
111,GSAT,mathematics_b,9,6493,7.17,56788,62.71,40261,44.46,gsat-111-score-distribution
111,GSAT,natural_sciences,0,3,0.0,3,0.0,69773,100.0,gsat-111-score-distribution
111,GSAT,natural_sciences,1,12,0.02,15,0.02,69770,100.0,gsat-111-score-distribution
111,GSAT,natural_sciences,10,6766,9.7,38621,55.35,37918,54.34,gsat-111-score-distribution
111,GSAT,natural_sciences,11,7270,10.42,45891,65.77,31152,44.65,gsat-111-score-distribution
