academic_year,exam,subject_id,standard,grade,cumulative_percentage,source_id
111,GSAT,chinese,均標,10,65.68,gsat-111-standard
111,GSAT,chinese,前標,12,32.76,gsat-111-standard
111,GSAT,chinese,頂標,13,18.43,gsat-111-standard
111,GSAT,chinese,底標,7,92.46,gsat-111-standard
111,GSAT,chinese,後標,9,78.31,gsat-111-standard
111,GSAT,english,前標,12,25.65,gsat-111-standard
111,GSAT,english,頂標,13,17.2,gsat-111-standard
111,GSAT,english,底標,4,89.26,gsat-111-standard
111,GSAT,english,後標,5,80.52,gsat-111-standard
111,GSAT,english,均標,8,56.9,gsat-111-standard
111,GSAT,mathematics_a,頂標,10,14.78,gsat-111-standard
111,GSAT,mathematics_a,底標,3,91.94,gsat-111-standard
111,GSAT,mathematics_a,後標,4,81.84,gsat-111-standard
111,GSAT,mathematics_a,均標,6,54.17,gsat-111-standard
111,GSAT,mathematics_a,前標,8,31.26,gsat-111-standard
111,GSAT,mathematics_b,前標,11,30.8,gsat-111-standard
111,GSAT,mathematics_b,頂標,13,14.6,gsat-111-standard
111,GSAT,mathematics_b,底標,3,91.95,gsat-111-standard
111,GSAT,mathematics_b,後標,4,83.24,gsat-111-standard
111,GSAT,mathematics_b,均標,8,50.36,gsat-111-standard
111,GSAT,natural_sciences,均標,10,54.34,gsat-111-standard
111,GSAT,natural_sciences,前標,12,34.23,gsat-111-standard
111,GSAT,natural_sciences,頂標,14,12.58,gsat-111-standard
111,GSAT,natural_sciences,底標,5,91.26,gsat-111-standard
111,GSAT,natural_sciences,後標,7,78.43,gsat-111-standard
111,GSAT,social_studies,均標,11,59.5,gsat-111-standard
111,GSAT,social_studies,前標,12,43.52,gsat-111-standard
111,GSAT,social_studies,頂標,13,24.6,gsat-111-standard
111,GSAT,social_studies,底標,7,92.39,gsat-111-standard
111,GSAT,social_studies,後標,9,81.06,gsat-111-standard
112,GSAT,chinese,均標,11,56.94,gsat-112-standard
112,GSAT,chinese,前標,12,38.65,gsat-112-standard
112,GSAT,chinese,頂標,13,21.42,gsat-112-standard
112,GSAT,chinese,底標,8,88.59,gsat-112-standard
112,GSAT,chinese,後標,9,81.9,gsat-112-standard
112,GSAT,english,前標,11,27.7,gsat-112-standard
112,GSAT,english,頂標,13,13.42,gsat-112-standard
112,GSAT,english,底標,4,88.09,gsat-112-standard
112,GSAT,english,後標,5,77.99,gsat-112-standard
112,GSAT,english,均標,8,51.77,gsat-112-standard
112,GSAT,mathematics_a,頂標,11,17.58,gsat-112-standard
112,GSAT,mathematics_a,底標,4,90.05,gsat-112-standard
112,GSAT,mathematics_a,後標,5,81.15,gsat-112-standard
112,GSAT,mathematics_a,均標,7,55.82,gsat-112-standard
112,GSAT,mathematics_a,前標,9,32.67,gsat-112-standard
112,GSAT,mathematics_b,前標,10,29.23,gsat-112-standard
112,GSAT,mathematics_b,頂標,12,14.09,gsat-112-standard
112,GSAT,mathematics_b,底標,3,93.45,gsat-112-standard
112,GSAT,mathematics_b,後標,4,83.68,gsat-112-standard
112,GSAT,mathematics_b,均標,7,54.76,gsat-112-standard
112,GSAT,natural_sciences,前標,11,32.14,gsat-112-standard
112,GSAT,natural_sciences,頂標,13,13.09,gsat-112-standard
112,GSAT,natural_sciences,底標,5,88.84,gsat-112-standard
112,GSAT,natural_sciences,後標,6,80.91,gsat-112-standard
112,GSAT,natural_sciences,均標,9,53.44,gsat-112-standard
112,GSAT,social_studies,前標,11,34.93,gsat-112-standard
112,GSAT,social_studies,頂標,12,21.85,gsat-112-standard
112,GSAT,social_studies,底標,6,92.09,gsat-112-standard
112,GSAT,social_studies,後標,8,76.13,gsat-112-standard
112,GSAT,social_studies,均標,9,63.76,gsat-112-standard
113,GSAT,chinese,均標,11,57.23,gsat-113-standard
113,GSAT,chinese,前標,12,39.64,gsat-113-standard
113,GSAT,chinese,頂標,13,22.24,gsat-113-standard
113,GSAT,chinese,底標,8,89.12,gsat-113-standard
113,GSAT,chinese,後標,9,82.69,gsat-113-standard
113,GSAT,english,前標,11,28.0,gsat-113-standard
113,GSAT,english,頂標,13,14.13,gsat-113-standard
113,GSAT,english,底標,3,96.78,gsat-113-standard
113,GSAT,english,後標,5,77.4,gsat-113-standard
113,GSAT,english,均標,8,50.84,gsat-113-standard
113,GSAT,mathematics_a,前標,10,26.15,gsat-113-standard
113,GSAT,mathematics_a,頂標,12,12.99,gsat-113-standard
113,GSAT,mathematics_a,底標,3,94.67,gsat-113-standard
113,GSAT,mathematics_a,後標,5,75.16,gsat-113-standard
113,GSAT,mathematics_a,均標,7,52.63,gsat-113-standard
113,GSAT,mathematics_b,頂標,12,12.12,gsat-113-standard
113,GSAT,mathematics_b,底標,3,90.21,gsat-113-standard
113,GSAT,mathematics_b,後標,4,79.8,gsat-113-standard
113,GSAT,mathematics_b,均標,6,58.23,gsat-113-standard
113,GSAT,mathematics_b,前標,9,30.25,gsat-113-standard
113,GSAT,natural_sciences,前標,12,26.51,gsat-113-standard
113,GSAT,natural_sciences,頂標,13,17.66,gsat-113-standard
113,GSAT,natural_sciences,底標,5,91.24,gsat-113-standard
113,GSAT,natural_sciences,後標,6,83.4,gsat-113-standard
113,GSAT,natural_sciences,均標,9,56.03,gsat-113-standard
113,GSAT,social_studies,均標,10,55.76,gsat-113-standard
113,GSAT,social_studies,前標,12,28.24,gsat-113-standard
113,GSAT,social_studies,頂標,13,16.4,gsat-113-standard
113,GSAT,social_studies,底標,6,92.12,gsat-113-standard
113,GSAT,social_studies,後標,8,79.0,gsat-113-standard
114,GSAT,chinese,均標,10,62.92,gsat-114-standard
114,GSAT,chinese,前標,12,31.89,gsat-114-standard
114,GSAT,chinese,頂標,13,17.82,gsat-114-standard
114,GSAT,chinese,底標,7,90.39,gsat-114-standard
114,GSAT,chinese,後標,9,75.38,gsat-114-standard
114,GSAT,english,前標,11,30.46,gsat-114-standard
114,GSAT,english,頂標,13,15.71,gsat-114-standard
114,GSAT,english,底標,3,95.6,gsat-114-standard
114,GSAT,english,後標,4,84.78,gsat-114-standard
114,GSAT,english,均標,8,51.39,gsat-114-standard
114,GSAT,mathematics_a,頂標,11,14.3,gsat-114-standard
114,GSAT,mathematics_a,底標,3,92.6,gsat-114-standard
114,GSAT,mathematics_a,後標,4,82.03,gsat-114-standard
114,GSAT,mathematics_a,均標,6,57.77,gsat-114-standard
114,GSAT,mathematics_a,前標,9,27.47,gsat-114-standard
114,GSAT,mathematics_b,前標,10,26.25,gsat-114-standard
114,GSAT,mathematics_b,頂標,12,12.76,gsat-114-standard
114,GSAT,mathematics_b,底標,3,89.42,gsat-114-standard
114,GSAT,mathematics_b,後標,4,77.87,gsat-114-standard
114,GSAT,mathematics_b,均標,6,56.27,gsat-114-standard
114,GSAT,natural_sciences,前標,12,29.3,gsat-114-standard
114,GSAT,natural_sciences,頂標,13,19.29,gsat-114-standard
114,GSAT,natural_sciences,底標,5,92.48,gsat-114-standard
114,GSAT,natural_sciences,後標,7,76.98,gsat-114-standard
114,GSAT,natural_sciences,均標,9,59.07,gsat-114-standard
114,GSAT,social_studies,均標,10,53.75,gsat-114-standard
114,GSAT,social_studies,前標,12,25.03,gsat-114-standard
114,GSAT,social_studies,頂標,13,13.61,gsat-114-standard
114,GSAT,social_studies,底標,7,88.04,gsat-114-standard
114,GSAT,social_studies,後標,8,80.02,gsat-114-standard
115,GSAT,chinese,均標,10,65.72,gsat-115-standard
115,GSAT,chinese,前標,12,31.9,gsat-115-standard
115,GSAT,chinese,頂標,13,17.18,gsat-115-standard
115,GSAT,chinese,底標,7,92.92,gsat-115-standard
115,GSAT,chinese,後標,9,78.81,gsat-115-standard
115,GSAT,english,前標,11,31.8,gsat-115-standard
115,GSAT,english,頂標,13,15.71,gsat-115-standard
115,GSAT,english,底標,3,96.11,gsat-115-standard
115,GSAT,english,後標,5,76.65,gsat-115-standard
115,GSAT,english,均標,8,54.21,gsat-115-standard
115,GSAT,mathematics_a,前標,10,28.54,gsat-115-standard
115,GSAT,mathematics_a,頂標,12,12.61,gsat-115-standard
115,GSAT,mathematics_a,底標,4,89.56,gsat-115-standard
115,GSAT,mathematics_a,後標,5,82.82,gsat-115-standard
115,GSAT,mathematics_a,均標,8,50.11,gsat-115-standard
115,GSAT,mathematics_b,頂標,11,13.77,gsat-115-standard
115,GSAT,mathematics_b,底標,2,96.38,gsat-115-standard
115,GSAT,mathematics_b,後標,3,86.46,gsat-115-standard
115,GSAT,mathematics_b,均標,5,60.91,gsat-115-standard
115,GSAT,mathematics_b,前標,9,26.25,gsat-115-standard
115,GSAT,natural_sciences,前標,12,26.73,gsat-115-standard
115,GSAT,natural_sciences,頂標,13,16.66,gsat-115-standard
115,GSAT,natural_sciences,底標,5,90.67,gsat-115-standard
115,GSAT,natural_sciences,後標,7,76.42,gsat-115-standard
115,GSAT,natural_sciences,均標,9,59.18,gsat-115-standard
115,GSAT,social_studies,均標,10,58.24,gsat-115-standard
115,GSAT,social_studies,前標,12,27.54,gsat-115-standard
115,GSAT,social_studies,頂標,13,14.57,gsat-115-standard
115,GSAT,social_studies,底標,7,89.6,gsat-115-standard
115,GSAT,social_studies,後標,8,82.0,gsat-115-standard
