source_id,title,publisher,academic_year,url,file_type,page_or_sheet,definition,accessed_at,notes
uac-downloads,"歷年資料下載",大學考試入學分發委員會,"111-115",https://www.uac.edu.tw/downloads.htm,HTML,"歷年資料下載","分發入學官方年度統計檔案清單",2026-08-25,"逐項檢查招生簡章、校系錄取表、分發人數、志願分析、特種生、出生年次、登記生錄取率及新聞稿附件；未見大學或校系按應屆身分拆分的公開表"
uac-115-result-presentation,"115學年度大學分發入學放榜記者會",大學考試入學分發委員會,115,https://www2.uac.edu.tw/115data/115_result_presentation.pdf,PDF,"第10、14、19頁（PDF頁碼）","登記生與錄取生分成應屆及非應屆；學群表為錄取人數（不含外加），未拆應屆身分",2026-08-25,"第14頁提供111-115全體應屆/非應屆總數；第19頁提供115學群錄取人數，且註明部分系組跨2學群，學群加總大於全體"
uac-115-result-data,"115年大學分發入學17日放榜錄取率97.54%",大學考試入學分發委員會,115,https://www2.uac.edu.tw/115data/115_result_data.pdf,PDF,"新聞稿附件一至六","分發登記與錄取；應屆/非應屆僅全體層級",2026-08-25,"含歷年總數與115學群名額使用率，未提供學群乘上應屆身分"
uac-114-result-data,"114年大學分發入學13日放榜錄取率96.34%",大學考試入學分發委員會,114,https://www.uac.edu.tw/114data/114_result_data.pdf,PDF,"新聞稿附件","分發登記與錄取；應屆/非應屆僅全體層級",2026-08-25,"有學群名額/錄取統計但未按應屆身分拆分"
uac-114-analysis,"114學年度大學分發入學登記生人數及錄取率分析表",大學考試入學分發委員會,114,https://www.uac.edu.tw/114data/114_12.pdf,PDF,"第1頁","按性別與登記身分拆應屆/非應屆；沒有大學、校系或學群欄位",2026-08-25,"可核對全體非應屆登記5477、錄取4981"
uac-113-analysis,"113學年度大學分發入學登記生人數及錄取率分析表",大學考試入學分發委員會,113,https://www.uac.edu.tw/113data/113_12.pdf,PDF,"第1頁","按性別與登記身分拆應屆/非應屆；沒有大學、校系或學群欄位",2026-08-25,"可核對全體非應屆登記5395、錄取4683"
uac-112-analysis,"112學年度大學分發入學登記生人數及錄取率分析表",大學考試入學分發委員會,112,https://www.uac.edu.tw/112data/112_12.pdf,PDF,"第1頁","按性別與登記身分拆應屆/非應屆；沒有大學、校系或學群欄位",2026-08-25,"可核對全體非應屆登記4685、錄取4040"
uac-111-analysis,"111學年度大學分發入學登記生人數及錄取率分析表",大學考試入學分發委員會,111,https://www.uac.edu.tw/111data/111_12.pdf,PDF,"第1頁","按性別與登記身分拆應屆/非應屆；沒有大學、校系或學群欄位",2026-08-25,"可核對全體非應屆登記3009、錄取2818"
collego-groups,"認識學群",ColleGo!大學選才與高中育才輔助系統,"",https://collego.edu.tw/Highschool/CollegeList,HTML,"認識學群","依知識、考科、興趣與專業發展將相似學系組成18學群",2026-08-25,"官方學群定義入口；未找到與各年度分發校系組代碼可直接連結的公開批次對照檔"
moe-higher-forms-113,"113學年大專校院定期公務統計報表表式及編製說明",教育部統計處,113,https://stats.moe.gov.tw/files/netsystem/higher/113/113%E5%AD%B8%E5%B9%B4%E5%A4%A7%E5%B0%88%E6%A0%A1%E9%99%A2%E5%AE%9A%E6%9C%9F%E5%85%AC%E5%8B%99%E7%B5%B1%E8%A8%88%E5%A0%B1%E8%A1%A8%E8%A1%A8%E5%BC%8F%E5%8F%8A%E7%B7%A8%E8%A3%BD%E8%AA%AA%E6%98%8E.ods,ODS,"表4-7等","新生註冊與應屆畢修等校務統計，並非分發登記/錄取母群",2026-08-25,"因母群不同，不納入事實表"
